country,HDI Rank,Gross national income (GNI) per capita (2017 PPP $) (2019),HDI rank - (2018),continent,Id,Label
denmark,10,"58,662",10,europe,denmark,denmark
china,85,"16,057",87,asia,china,china
united states,17,"63,826",17,north america,united states,united states
france,26,"47,173",26,europe,france,france
canada,16,"48,527",14,north america,canada,canada
germany,6,"55,314",4,europe,germany,germany
italy,29,"42,776",29,europe,italy,italy
united kingdom,13,"46,071",14,europe,united kingdom,united kingdom
switzerland,2,"69,394",2,europe,switzerland,switzerland
hungary,40,"31,329",42,europe,hungary,hungary
sweden,7,"54,508",7,europe,sweden,sweden
spain,25,"40,975",25,europe,spain,spain
israel,19,"40,187",21,asia,israel,israel
netherlands,8,"57,707",9,europe,netherlands,netherlands
czech republic,27,"38,109",26,europe,czech republic,czech republic
portugal,38,"33,967",38,europe,portugal,portugal
south korea,23,"43,044",22,asia,south korea,south korea
australia,8,"48,085",7,oceania,australia,australia
new zealand,14,"40,799",14,oceania,new zealand,new zealand
austria,18,"56,197",18,europe,austria,austria
japan,19,"42,932",20,asia,japan,japan
greece,32,"30,155",33,europe,greece,greece
singapore,11,"88,155",12,asia,singapore,singapore
ireland,2,"68,371",3,europe,ireland,ireland
croatia,43,"28,070",44,europe,croatia,croatia
belgium,14,"52,085",13,europe,belgium,belgium
russia,52,"26,157",49,europe,russia,russia
finland,11,"48,511",11,europe,finland,finland
norway,1,"66,494",1,europe,norway,norway
poland,35,"31,623",34,europe,poland,poland
colombia,83,"14,257",83,south america,colombia,colombia
south africa,114,"12,129",115,africa,south africa,south africa
turkey,54,"27,701",54,asia,turkey,turkey
thailand,79,"17,781",80,asia,thailand,thailand
dr congo,175,"1,063",174,africa,dr congo,dr congo
india,131,"6,681",130,asia,india,india
argentina,46,"21,190",46,south america,argentina,argentina
iran,70,"12,447",70,asia,iran,iran
vietnam,117,"7,433",118,asia,vietnam,vietnam
romania,49,"29,497",49,europe,romania,romania
sri lanka,72,"12,707",73,asia,sri lanka,sri lanka
republic of the congo,149,"2,879",149,africa,republic of the congo,republic of the congo
saudi arabia,40,"47,495",40,asia,saudi arabia,saudi arabia
nigeria,161,"4,910",161,africa,nigeria,nigeria
hong kong,4,"62,985",4,asia,hong kong,hong kong
tanzania,163,"2,600",164,africa,tanzania,tanzania
brazil,84,"14,263",84,south america,brazil,brazil
cyprus,33,"38,207",32,europe,cyprus,cyprus
peru,79,"12,252",78,south america,peru,peru
albania,69,"13,998",68,europe,albania,albania
philippines,107,"9,778",111,asia,philippines,philippines
lithuania,34,"35,799",35,europe,lithuania,lithuania
tunisia,95,"10,414",94,africa,tunisia,tunisia
malaysia,62,"27,534",63,asia,malaysia,malaysia
mexico,74,"19,160",76,north america,mexico,mexico
zimbabwe,150,"2,666",150,africa,zimbabwe,zimbabwe
