,Unnamed: 0,pub_year,pub_month,journal_name,paper_title,author
7584,7584,2018,9,Science advances,Early Holocene human presence in Madagascar evidenced by exploitation of avian megafauna,"James$Hansford$Institute of Zoology, Zoological Society of London, Regent's Park, London NW1 4RY, UK.#Patricia C$Wright$Department of Anthropology, Stony Brook University, Stony Brook, NY 11794, USA.#Armand$Rasoamiaramanana$Mention Bassins Sédimentaires Evolution Conservation, University of Antananarivo, Antananarivo, Madagascar.#Ventura R$Prez$Department of Anthropology, University of Massachusetts, 240 Hicks Way, Amherst, MA 01003, USA.#Laurie R$Godfrey$Department of Anthropology, University of Massachusetts, 240 Hicks Way, Amherst, MA 01003, USA.#David$Errickson$School of Science, Engineering and Design, Teesside University, Borough Road, Middlesbrough TS1 3BA, UK.#Tim$Thompson$School of Science, Engineering and Design, Teesside University, Borough Road, Middlesbrough TS1 3BA, UK.#Samuel T$Turvey$Institute of Zoology, Zoological Society of London, Regent's Park, London NW1 4RY, UK."
7585,7585,2018,9,Science advances,GLK-IKKβ signaling induces dimerization and translocation of the AhR-RORγt complex in IL-17A induction and autoimmune disease,"HuaiChia$Chuang$Immunology Research Center, National Health Research Institutes, Zhunan 35053, Taiwan.#ChingYi$Tsai$Immunology Research Center, National Health Research Institutes, Zhunan 35053, Taiwan.#ChiaHsin$Hsueh$Immunology Research Center, National Health Research Institutes, Zhunan 35053, Taiwan.#TseHua$Tan$Immunology Research Center, National Health Research Institutes, Zhunan 35053, Taiwan."
7586,7586,2018,9,Science advances,Learning of spatiotemporal patterns in a spiking neural network with resistive switching synapses,"Wei$Wang$Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Piazza L. da Vinci 32, 20133 Milano, Italy.#Giacomo$Pedretti$Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Piazza L. da Vinci 32, 20133 Milano, Italy.#Valerio$Milo$Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Piazza L. da Vinci 32, 20133 Milano, Italy.#Roberto$Carboni$Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Piazza L. da Vinci 32, 20133 Milano, Italy.#Alessandro$Calderoni$Micron Technology Inc., Boise, ID 83707, USA.#Nirmal$Ramaswamy$Micron Technology Inc., Boise, ID 83707, USA.#Alessandro S$Spinelli$Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Piazza L. da Vinci 32, 20133 Milano, Italy.#Daniele$Ielmini$Dipartimento di Elettronica, Informazione e Bioingegneria, Politecnico di Milano, Piazza L. da Vinci 32, 20133 Milano, Italy."
7587,7587,2018,9,Science advances,Inconsistencies undermine the conclusion that agriculture is a dominant source of NO <sub><i>x</i></sub> in California,"Tai McClellan$Maaz$International Plant Nutrition Institute, 5550 Triangle Parkway, Suite 300, Peachtree Corners, GA 30092, USA.#Sarah$Waldo$National Risk Management Research Laboratory, U.S. Environmental Protection Agency, Office of Research and Development, 26 West Martin Luther King Drive, Cincinnati, OH 45268, USA.#Tom$Bruulsema$International Plant Nutrition Institute, 5550 Triangle Parkway, Suite 300, Peachtree Corners, GA 30092, USA.#Rob$Mikkelsen$International Plant Nutrition Institute, 5550 Triangle Parkway, Suite 300, Peachtree Corners, GA 30092, USA."
7588,7588,2018,9,Science advances,Frustration-induced phases in migrating cell clusters,"Katherine$Copenhagen$Department of Physics, University of California, Merced, Merced, CA 95343, USA.#Gema$MaletEngra$Department of Oncology and Hemato-Oncology (DIPO), School of Medicine, University of Milan, Milan, Italy.#Weimiao$Yu$Institute of Molecular and Cell Biology, National University of Singapore, Singapore, Singapore.#Giorgio$Scita$Department of Oncology and Hemato-Oncology (DIPO), School of Medicine, University of Milan, Milan, Italy.#Nir$Gov$Department of Chemical Physics, Weizmann Institute of Science, Rehovot, Israel.#Ajay$Gopinathan$Department of Physics, University of California, Merced, Merced, CA 95343, USA."
7589,7589,2018,9,Science advances,Nitrogen isotope signature evidences ammonium deprotonation as a common transport mechanism for the AMT-Mep-Rh protein superfamily,"Idoia$Ariz$Centre for Ecology, Evolution and Environmental Changes, Faculdade de Ciências da Universidade de Lisboa, 1749-016 Lisboa, Portugal.#Mlanie$Boeckstaens$Biology of Membrane Transport, Department of Molecular Biology, Université Libre de Bruxelles, 6041 Gosselies, Belgium.#Catarina$Gouveia$Centre for Ecology, Evolution and Environmental Changes, Faculdade de Ciências da Universidade de Lisboa, 1749-016 Lisboa, Portugal.#Ana Paula$Martins$iMed.ULisboa-Research Institute for Medicines, Faculdade de Farmácia da Universidade de Lisboa, 1649-003 Lisboa, Portugal.#Emanuel$SanzLuque$Department of Biochemistry and Molecular Biology, Univeristy of Córdoba, 14071 Cordoba, Spain.#Emilio$Fernndez$Department of Biochemistry and Molecular Biology, Univeristy of Córdoba, 14071 Cordoba, Spain.#Graa$Soveral$iMed.ULisboa-Research Institute for Medicines, Faculdade de Farmácia da Universidade de Lisboa, 1649-003 Lisboa, Portugal.#Nicolaus$von Wirn$Department of Physiology and Cell Biology, Leibniz Institute for Plant Genetics and Crop Plant Research, Seeland, 06466 OT Gatersleben, Germany.#Anna M$Marini$Biology of Membrane Transport, Department of Molecular Biology, Université Libre de Bruxelles, 6041 Gosselies, Belgium.#Pedro M$AparicioTejo$Departamento de Ciencias, Universidad Pública de Navarra, 31006 Pamplona, Spain.#Cristina$Cruz$Centre for Ecology, Evolution and Environmental Changes, Faculdade de Ciências da Universidade de Lisboa, 1749-016 Lisboa, Portugal."
7590,7590,2018,9,Science translational medicine,Thrombopoietin receptor-independent stimulation of hematopoietic stem cells by eltrombopag,"YunRuei$Kao$Department of Cell Biology, Albert Einstein College of Medicine, Bronx, NY 10461, USA.#Jiahao$Chen$Department of Cell Biology, Albert Einstein College of Medicine, Bronx, NY 10461, USA.#SwathiRao$Narayanagari$Department of Cell Biology, Albert Einstein College of Medicine, Bronx, NY 10461, USA.#Tihomira I$Todorova$Department of Cell Biology, Albert Einstein College of Medicine, Bronx, NY 10461, USA.#Maria M$Aivalioti$Department of Cell Biology, Albert Einstein College of Medicine, Bronx, NY 10461, USA.#Mariana$Ferreira$Department of Cell Biology, Albert Einstein College of Medicine, Bronx, NY 10461, USA.#Pedro M$Ramos$Novartis Pharmaceuticals, Basel CH-4057, Switzerland.#Celine$Pallaud$Novartis Pharmaceuticals, Basel CH-4057, Switzerland.#Ioannis$Mantzaris$Department of Oncology, Montefiore Medical Center, Bronx, NY 10467, USA.#Aditi$Shastri$Department of Oncology, Montefiore Medical Center, Bronx, NY 10467, USA.#James B$Bussel$Pediatric Hematology/Oncology, Weill Cornell Medicine, New York, NY 10065, USA.#Amit$Verma$Department of Oncology, Montefiore Medical Center, Bronx, NY 10467, USA.#Ulrich$Steidl$Department of Cell Biology, Albert Einstein College of Medicine, Bronx, NY 10461, USA. britta.will@einstein.yu.edu ulrich.steidl@einstein.yu.edu.#Britta$Will$Department of Cell Biology, Albert Einstein College of Medicine, Bronx, NY 10461, USA. britta.will@einstein.yu.edu ulrich.steidl@einstein.yu.edu."
7591,7591,2018,9,Science translational medicine,A database of tissue-specific rhythmically expressed human genes has potential applications in circadian medicine,"Marc D$Ruben$Divisions of Human Genetics and Immunobiology, Center for Chronobiology, Department of Pediatrics, Cincinnati Children's Hospital Medical Center, 240 Albert Sabin Way, Cincinnati, OH 45229, USA.#Gang$Wu$Divisions of Human Genetics and Immunobiology, Center for Chronobiology, Department of Pediatrics, Cincinnati Children's Hospital Medical Center, 240 Albert Sabin Way, Cincinnati, OH 45229, USA.#David F$Smith$Divisions of Pediatric Otolaryngology and Pulmonary and Sleep Medicine, Cincinnati Children's Hospital Medical Center, 3333 Burnet Avenue, Cincinnati, OH 45229, USA.#Robert E$Schmidt$Divisions of Human Genetics and Immunobiology, Center for Chronobiology, Department of Pediatrics, Cincinnati Children's Hospital Medical Center, 240 Albert Sabin Way, Cincinnati, OH 45229, USA.#Lauren J$Francey$Divisions of Human Genetics and Immunobiology, Center for Chronobiology, Department of Pediatrics, Cincinnati Children's Hospital Medical Center, 240 Albert Sabin Way, Cincinnati, OH 45229, USA.#Yin Yeng$Lee$Divisions of Human Genetics and Immunobiology, Center for Chronobiology, Department of Pediatrics, Cincinnati Children's Hospital Medical Center, 240 Albert Sabin Way, Cincinnati, OH 45229, USA.#Ron C$Anafi$Department of Medicine, Center for Sleep and Circadian Neurobiology, Institute for Biomedical Informatics, University of Pennsylvania Perelman School of Medicine, Philadelphia, PA 19104, USA.#John B$Hogenesch$Divisions of Human Genetics and Immunobiology, Center for Chronobiology, Department of Pediatrics, Cincinnati Children's Hospital Medical Center, 240 Albert Sabin Way, Cincinnati, OH 45229, USA. john.hogenesch@cchmc.org."
7592,7592,2018,9,Science translational medicine,"ANP32A regulates ATM expression and prevents oxidative stress in cartilage, brain, and bone","Frederique M F$Cornelis$Laboratory of Tissue Homeostasis and Disease, Skeletal Biology and Engineering Research Center, Department of Development and Regeneration, KU Leuven, 3000 Leuven, Belgium.#Silvia$Monteagudo$Laboratory of Tissue Homeostasis and Disease, Skeletal Biology and Engineering Research Center, Department of Development and Regeneration, KU Leuven, 3000 Leuven, Belgium.#LauraAn K A$Guns$Laboratory of Tissue Homeostasis and Disease, Skeletal Biology and Engineering Research Center, Department of Development and Regeneration, KU Leuven, 3000 Leuven, Belgium.#Wouter$den Hollander$Department of Medical Statistics and Bioinformatics, Section Molecular Epidemiology, Leiden University Medical Center, 2300 RC Leiden, Netherlands.#Rob G H H$Nelissen$Department of Orthopaedics, Leiden University Medical Center, 2300 RC Leiden, Netherlands.#Lies$Storms$Laboratory of Tissue Homeostasis and Disease, Skeletal Biology and Engineering Research Center, Department of Development and Regeneration, KU Leuven, 3000 Leuven, Belgium.#Tine$Peeters$Laboratory of Tissue Homeostasis and Disease, Skeletal Biology and Engineering Research Center, Department of Development and Regeneration, KU Leuven, 3000 Leuven, Belgium.#Ilse$Jonkers$Laboratory of Tissue Homeostasis and Disease, Skeletal Biology and Engineering Research Center, Department of Development and Regeneration, KU Leuven, 3000 Leuven, Belgium.#Ingrid$Meulenbelt$Department of Medical Statistics and Bioinformatics, Section Molecular Epidemiology, Leiden University Medical Center, 2300 RC Leiden, Netherlands.#Rik J$Lories$Laboratory of Tissue Homeostasis and Disease, Skeletal Biology and Engineering Research Center, Department of Development and Regeneration, KU Leuven, 3000 Leuven, Belgium. rik.lories@kuleuven.be."
7593,7593,2018,9,Science translational medicine,Evaluation of mutant huntingtin and neurofilament proteins as potential markers in Huntington's disease,"Lauren M$Byrne$Huntington's Disease Centre, University College London (UCL) Institute of Neurology, London WC1N 3BG, UK. lauren.byrne.14@ucl.ac.uk e.wild@ucl.ac.uk.#Filipe B$Rodrigues$Huntington's Disease Centre, University College London (UCL) Institute of Neurology, London WC1N 3BG, UK.#Eileanor B$Johnson$Huntington's Disease Centre, University College London (UCL) Institute of Neurology, London WC1N 3BG, UK.#Peter A$Wijeratne$Centre for Medical Image Computing, Department of Computer Science, UCL, London WC1E 6EA, UK.#Enrico$De Vita$Lysholm Department of Neuroradiology, National Hospital for Neurology and Neurosurgery, London WC1N 3BG, UK.#Daniel C$Alexander$Centre for Medical Image Computing, Department of Computer Science, UCL, London WC1E 6EA, UK.#Giuseppe$Palermo$Neuroscience, Ophthalmology, and Rare Diseases, Roche Pharma Research and Early Development, Roche Innovation Center Basel, F. Hoffman-La Roche Ltd., 4070 Basel, Switzerland.#Christian$Czech$Neuroscience, Ophthalmology, and Rare Diseases, Roche Pharma Research and Early Development, Roche Innovation Center Basel, F. Hoffman-La Roche Ltd., 4070 Basel, Switzerland.#Scott$Schobel$Neuroscience, Ophthalmology, and Rare Diseases, Roche Pharma Research and Early Development, Roche Innovation Center Basel, F. Hoffman-La Roche Ltd., 4070 Basel, Switzerland.#Rachael I$Scahill$Huntington's Disease Centre, University College London (UCL) Institute of Neurology, London WC1N 3BG, UK.#Amanda$Heslegrave$Department of Molecular Neuroscience, UCL Institute of Neurology, Queen Square, London WC1N 3BG, UK.#Henrik$Zetterberg$Department of Molecular Neuroscience, UCL Institute of Neurology, Queen Square, London WC1N 3BG, UK.#Edward J$Wild$Huntington's Disease Centre, University College London (UCL) Institute of Neurology, London WC1N 3BG, UK. lauren.byrne.14@ucl.ac.uk e.wild@ucl.ac.uk."
