,Unnamed: 0.1,pub_year,pub_month,journal_name,paper_title,author
0,0,2020,9,Nature neuroscience,Magneto is ineffective in controlling electrical properties of cerebellar Purkinje cells,"fangxiao.xu.china.hangzhou,lin.zhou.china.hangzhou,xintai.wang.china.hangzhou,fan.jia.china.wuhan,kuangyi.ma.china.hangzhou,na.wang.china.hangzhou,li.lin.china.wenzhou,fuqiang.xu.china.wuhan,ying.shen.china.hangzhou"
2,2,2020,9,Nature neuroscience,Assessing the utility of Magneto to control neuronal excitability in the somatosensory cortex,"koen.kole.netherlands.nijmegen,yiping.zhang.netherlands.nijmegen,eric_j_r.jansen.netherlands.nijmegen,terence.brouns.netherlands.nijmegen,ate.bijlsma.netherlands.nijmegen,niccolo.calcini.netherlands.nijmegen,xuan.yan.netherlands.nijmegen,angelica_da_silva.lantyer.netherlands.nijmegen,tansu.celikel.netherlands.nijmegen"
5,5,2020,7,Nature materials,Programming nanoparticle valence bonds with single-stranded DNA encoders,"guangbao.yao.china.shanghai,jiang.li.china.shanghai,qian.li.china.shanghai,xiaoliang.chen.china.shanghai,xiaoguo.liu.china.shanghai,fei.wang.china.shanghai,zhibei.qu.china.shanghai,zhilei.ge.china.shanghai,hao.pei.china.shanghai,xiaolei.zuo.china.shanghai,lihua.wang.china.shanghai,ben_l.feringa.netherlands.groningen,chunhai.fan.china.shanghai"
10,10,2020,5,Nature reviews. Immunology,Organoids in immunological research,"yotam_e.barephraim.netherlands.utrecht,kai.kretzschmar.netherlands.utrecht,hans.clevers.netherlands.utrecht"
14,14,2020,4,Nature biomedical engineering,Growth factors with enhanced syndecan binding generate tonic signalling and promote tissue healing,"mayumi.mochizuki.australia.victoria,esra.g.switzerland.lausanne,anthony_j.park.australia.victoria,ziad.julier.australia.victoria,priscilla_s.briquez.switzerland.lausanne,gisela_a.kuhn.switzerland.zurich,ralph.mller.switzerland.zurich,melody_a.swartz.switzerland.lausanne,jeffrey_a.hubbell.switzerland.lausanne,mikal_m.martino.australia.victoria"
16,16,2020,4,Nature chemical biology,Dynamics of transcription-translation coordination tune bacterial indole signaling,"tianmin.wang.china.beijing,xiang.zheng.china.beijing,haonan.ji.china.beijing,tingliang.wang.china.beijing,xinhui.xing.china.beijing,chong.zhang.china.beijing"
27,27,2020,4,Nature reviews. Cardiology,Epidemiology of inherited arrhythmias,"joost_a.offerhaus.netherlands.amsterdam,connie_r.bezzina.netherlands.amsterdam,arthur_a_m.wilde.netherlands.amsterdam"
28,28,2020,4,Nature reviews. Cardiology,Transcriptional and epigenetic regulation of macrophages in atherosclerosis,"tatyana.kuznetsova.netherlands.amsterdam,koen_h_m.prange.netherlands.amsterdam,menno_p_j.de_winther.netherlands.amsterdam"
31,31,2020,4,Nature reviews. Genetics,Methods for mapping 3D chromosome architecture,"rieke.kempfer.germany.berlin,ana.pombo.germany.berlin"
32,32,2020,4,Nature reviews. Genetics,Chromosome organization in bacteria: mechanistic insights into genome structure and function,"remus_t.dame.netherlands.leiden,fatemazahra_m.rashid.netherlands.leiden,david_c.grainger.united_kingdom.birmingham"
